code,description/en,License,access/availableOnline,access/exampleIdentifiers,access/guidanceOnLocatingIds,access/languages,access/onlineAccessDetails,access/publicDatabase,confirmed,coverage,data/availability,data/dataAccessDetails,data/features,data/licenseDetails,data/licenseStatus,deprecated,formerPrefixes,links/opencorporates,links/wikipedia,listType,meta/lastUpdated,meta/source,name/en,name/local,quality,quality_explained/Availability: API,quality_explained/Availability: Bulk download,quality_explained/Availability: CSV format,quality_explained/Availability: Excel format,quality_explained/Availability: JSON format,quality_explained/Availability: PDF format,quality_explained/Availability: RDF format,quality_explained/Availability: XML format,quality_explained/License: Closed License,quality_explained/License: No License,quality_explained/License: Open License,quality_explained/List type: Local,quality_explained/List type: Primary,quality_explained/List type: Secondary,quality_explained/List type: Third Party,registerType,sector,structure,subnationalCoverage,url
AD-COA,"A government's budget (or 'Chart of Accounts') often refers to government agencies, departments and ministries with stable codes. These can be reliably used in open data publications as identifiers.

This org-id.guide entry is generated and maintained by Gov Org ID Finder [1] from Development Initiatives. Where available, Gov Org ID Finder extracts and makes Chart of Accounts codes available for the convenience of users. The authoritative source remains the government's budget or Chart of Accounts.

[1] https://gov-id-finder.codeforiati.org/about",,False,,,,"Codes can be found in the government budget or Chart of Accounts. Gov Org ID Finder extracts and makes some of these codes available for the convenience of users. However, no codes have yet been extracted for Andorra.",https://gov-id-finder.codeforiati.org/countries/AD/,True,AD,,"Look at the government budget or Chart of Accounts. If you find identifiers, you can also submit them for inclusion to Gov Org ID Finder: https://gov-id-finder.codeforiati.org/about",,,no_license,False,,,,secondary,2022-03-23,Desk research,Andorra Chart of Accounts,,55,,,,,,,,,,5,,,,50,,,,government_agency,,https://gov-id-finder.codeforiati.org/countries/AD/
AE-ACCI,There are 2 types of search available: Commercial search and Industrial search. You can also use an online enquiry form to find the required information. The contact details of Ajman Chamber and the heads of its sectors are also available.,,False,,,,,,True,AE,,,,,,False,,,,primary,2017-11-16,ProZorro Business Register Research,Ajman Chamber of Commerce and Industry,غرفة تجارة وصناعة عجمان,75,,,,,,,,,,,,,75,,,,,company,AE-AJ,https://www.ajmanchamber.ae/en/Pages/default.aspx
AE-ADCD,"This register includes information on companies' Unified no., Membership no., name, address, phone number, email, activity etc.",,False,,,,,,True,AE,,,,,,False,,,,primary,2017-11-16,ProZorro Business Register Research,Abu Dhabi Commercial Directory,دليل أبوظبي التجاري,75,,,,,,,,,,,,,75,,,,,company,AE-AZ,http://www.abudhabichamber.ae/English/E-Services/Pages/EServices-Page.aspx?sm=1&ty=s
AE-AFZ,"The authority's website can be used to find its address, email and call center contacts. No clear search functionality directly on the website.",,False,,,,,,True,AE,,,,,,False,,,,primary,2017-11-16,ProZorro Business Register Research,Ajman Free Zone Authority,سلطة المنطقة الحرة في عجمان,75,,,,,,,,,,,,,75,,,,,company,AE-AJ,http://www.afz.gov.ae/
AE-COA,"A government's budget (or 'Chart of Accounts') often refers to government agencies, departments and ministries with stable codes. These can be reliably used in open data publications as identifiers.

This org-id.guide entry is generated and maintained by Gov Org ID Finder [1] from Development Initiatives. Where available, Gov Org ID Finder extracts and makes Chart of Accounts codes available for the convenience of users. The authoritative source remains the government's budget or Chart of Accounts.

[1] https://gov-id-finder.codeforiati.org/about",,False,,,,"Codes can be found in the government budget or Chart of Accounts. Gov Org ID Finder extracts and makes some of these codes available for the convenience of users. However, no codes have yet been extracted for United Arab Emirates (the).",https://gov-id-finder.codeforiati.org/countries/AE/,True,AE,,"Look at the government budget or Chart of Accounts. If you find identifiers, you can also submit them for inclusion to Gov Org ID Finder: https://gov-id-finder.codeforiati.org/about",,,no_license,False,,,,secondary,2022-03-23,Desk research,United Arab Emirates (the) Chart of Accounts,,55,,,,,,,,,,5,,,,50,,,,government_agency,,https://gov-id-finder.codeforiati.org/countries/AE/
AE-DCCI,"This register includes information on companies name, address, phone number, website, activity and branches.",,False,,,,,,True,AE,,,,,,False,,,,primary,2017-11-16,ProZorro Business Register Research,Dubai Chamber of Commerce and Industry ,غرفة تجارة وصناعة دبي,75,,,,,,,,,,,,,75,,,,,company,AE-DU,http://www.dcciinfo.com/
AE-DFSA,"This register includes information on companies' name, DFSA reference number, address, phone number, legal status, services.",,False,,,,,,True,AE,,,,,,False,,,,primary,2017-11-16,ProZorro Business Register Research,Dubai Financial Services Authority ,هيئة دبي للخدمات المالية,75,,,,,,,,,,,,,75,,,,,company,AE-DU,https://www.dfsa.ae/Public-Register/Firm
AE-DIFC,"This register includes information on companies' name, registration number, activity, phone number, address, etc.",,False,,,,,,True,AE,,,,,,False,,,,primary,2017-11-16,ProZorro Business Register Research,Dubai International Financial Centre,مركز دبي المالي العالمي,75,,,,,,,,,,,,,75,,,,,company,AE-DU,https://www.difc.ae/public-register
AE-DMCC,"Dubai Multi Commodities Centre is a Free Zone Authority established by the government of Dubai in 2002. The DMCC authority registers and licenses companies to operate in the DMCC Free Zone.

N.B There is a 'Business Directory', however, this does not provide registration numbers[1] 

[1]: https://www.dmcc.ae/business-search",,False,JLT-65609,Use the license number given for the company (not the plot number).,"AE, EN",,,True,AE,data_not_available,,,,,False,,,https://en.wikipedia.org/wiki/Dubai_Multi_Commodities_Centre,primary,2018-01-09,Desk research (prompted by request from publisher),Dubai Multi Commodities Centre,مركز دبي للسلع المتعددة,75,,,,,,,,,,,,,75,,,,,company,AE-DU,https://www.dmcc.ae/
AE-FCCI,"There is no company information available directly from this registry, but Chamber of Commerce and Industry can be contacted via the form on the website, phone or email to request more information.",,False,,,,,,True,AE,,,,,,False,,,,primary,2017-11-16,ProZorro Business Register Research,Fujairah Chamber of Commerce and Industry,غرفة تجارة وصناعة الفجيرة,75,,,,,,,,,,,,,75,,,,,company,AE-FU,http://www.fujcci.ae/
